DomainLabel,VarName,REGION,_REGION,activity,_activity,RENELC,_RENELC,DiffEst,StdErr,DF,tValue,Probt
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Service,No,No,-1.701689,1.654724,197,-1.03,0.3050
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Shopping,No,Yes,-7.998973,1.810616,197,-4.42,<.0001
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Shopping,No,No,-5.719549,2.223451,197,-2.57,0.0108
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Warehouse,No,Yes,1.880138,1.922792,197,0.98,0.3294
REGION*activity*RENELC,bleu,Northeast,Northeast,Education,Warehouse,No,No,2.742060,0.944235,197,2.90,0.0041
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Education,No,Yes,-4.068841,3.270475,197,-1.24,0.2149
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Education,No,No,-2.698662,1.334203,197,-2.02,0.0445
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Office,No,Yes,-3.483131,1.900748,197,-1.83,0.0684
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Office,No,No,-5.197095,1.447896,197,-3.59,0.0004
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Service,No,Yes,-1.889204,2.614522,197,-0.72,0.4708
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Service,No,No,-1.250064,1.380767,197,-0.91,0.3664
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Shopping,No,Yes,-8.649099,5.371974,197,-1.61,0.1090
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Shopping,No,No,-8.020396,1.548206,197,-5.18,<.0001
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Warehouse,No,Yes,-1.467328,3.187417,197,-0.46,0.6458
REGION*activity*RENELC,bleu,Northeast,Midwest,Education,Warehouse,No,No,3.061126,1.031374,197,2.97,0.0034
REGION*activity*RENELC,bleu,Northeast,South,Education,Education,No,Yes,-8.279537,5.126149,197,-1.62,0.1079
REGION*activity*RENELC,bleu,Northeast,South,Education,Education,No,No,-7.222732,1.372190,197,-5.26,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Education,Office,No,Yes,-4.950964,1.584853,197,-3.12,0.0021
REGION*activity*RENELC,bleu,Northeast,South,Education,Office,No,No,-7.503853,1.249448,197,-6.01,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Education,Service,No,Yes,-1.816049,1.995435,197,-0.91,0.3639
REGION*activity*RENELC,bleu,Northeast,South,Education,Service,No,No,-4.373666,1.583516,197,-2.76,0.0063
REGION*activity*RENELC,bleu,Northeast,South,Education,Shopping,No,Yes,-14.557104,4.865629,197,-2.99,0.0031
REGION*activity*RENELC,bleu,Northeast,South,Education,Shopping,No,No,-10.051048,1.370332,197,-7.33,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Education,Warehouse,No,Yes,-3.488489,2.122668,197,-1.64,0.1019
REGION*activity*RENELC,bleu,Northeast,South,Education,Warehouse,No,No,-0.737552,1.837978,197,-0.40,0.6886
REGION*activity*RENELC,bleu,Northeast,West,Education,Education,No,Yes,-5.887539,6.079941,197,-0.97,0.3341
REGION*activity*RENELC,bleu,Northeast,West,Education,Education,No,No,-1.883742,1.238414,197,-1.52,0.1298
REGION*activity*RENELC,bleu,Northeast,West,Education,Office,No,Yes,-2.879824,1.226721,197,-2.35,0.0199
REGION*activity*RENELC,bleu,Northeast,West,Education,Office,No,No,-6.935351,1.590915,197,-4.36,<.0001
REGION*activity*RENELC,bleu,Northeast,West,Education,Service,No,Yes,0.221161,2.680432,197,0.08,0.9343
REGION*activity*RENELC,bleu,Northeast,West,Education,Service,No,No,-2.338642,1.741414,197,-1.34,0.1808
REGION*activity*RENELC,bleu,Northeast,West,Education,Shopping,No,Yes,-4.161864,3.557431,197,-1.17,0.2435
REGION*activity*RENELC,bleu,Northeast,West,Education,Shopping,No,No,-9.384448,2.059927,197,-4.56,<.0001
REGION*activity*RENELC,bleu,Northeast,West,Education,Warehouse,No,Yes,2.632518,1.487639,197,1.77,0.0783
REGION*activity*RENELC,bleu,Northeast,West,Education,Warehouse,No,No,1.889263,1.094902,197,1.73,0.0860
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Office,Yes,No,-1.712567,1.607498,197,-1.07,0.2880
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Service,Yes,Yes,1.268501,3.418965,197,0.37,0.7110
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Service,Yes,No,0.765531,1.698889,197,0.45,0.6528
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Shopping,Yes,Yes,-5.531754,2.550670,197,-2.17,0.0313
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Shopping,Yes,No,-3.252329,1.696227,197,-1.92,0.0566
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Warehouse,Yes,Yes,4.347357,2.529677,197,1.72,0.0873
REGION*activity*RENELC,bleu,Northeast,Northeast,Office,Warehouse,Yes,No,5.209280,1.686343,197,3.09,0.0023
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Education,Yes,Yes,-1.601621,3.360911,197,-0.48,0.6342
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Education,Yes,No,-0.231442,1.565727,197,-0.15,0.8826
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Office,Yes,Yes,-1.015911,2.083287,197,-0.49,0.6263
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Office,Yes,No,-2.729875,1.677254,197,-1.63,0.1052
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Service,Yes,Yes,0.578016,2.752144,197,0.21,0.8339
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Service,Yes,No,1.217156,1.623875,197,0.75,0.4544
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Shopping,Yes,Yes,-6.181879,5.436747,197,-1.14,0.2569
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Shopping,Yes,No,-5.553176,1.770417,197,-3.14,0.0020
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Warehouse,Yes,Yes,0.999892,3.301871,197,0.30,0.7623
REGION*activity*RENELC,bleu,Northeast,Midwest,Office,Warehouse,Yes,No,5.528346,1.332578,197,4.15,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Office,Education,Yes,Yes,-5.812317,5.191741,197,-1.12,0.2643
REGION*activity*RENELC,bleu,Northeast,South,Office,Education,Yes,No,-4.755512,1.616039,197,-2.94,0.0036
REGION*activity*RENELC,bleu,Northeast,South,Office,Office,Yes,Yes,-2.483744,1.794000,197,-1.38,0.1678
REGION*activity*RENELC,bleu,Northeast,South,Office,Office,Yes,No,-5.036633,1.507702,197,-3.34,0.0010
REGION*activity*RENELC,bleu,Northeast,South,Office,Service,Yes,Yes,0.651170,2.169647,197,0.30,0.7644
REGION*activity*RENELC,bleu,Northeast,South,Office,Service,Yes,No,-1.906447,1.805880,197,-1.06,0.2924
REGION*activity*RENELC,bleu,Northeast,South,Office,Shopping,Yes,Yes,-12.089884,4.960413,197,-2.44,0.0157
REGION*activity*RENELC,bleu,Northeast,South,Office,Shopping,Yes,No,-7.583828,1.610729,197,-4.71,<.0001
REGION*activity*RENELC,bleu,Northeast,South,Office,Warehouse,Yes,Yes,-1.021269,2.287954,197,-0.45,0.6558
REGION*activity*RENELC,bleu,Northeast,South,Office,Warehouse,Yes,No,1.729667,2.017942,197,0.86,0.3924
REGION*activity*RENELC,bleu,Northeast,West,Office,Education,Yes,Yes,-3.420319,6.145089,197,-0.56,0.5784
REGION*activity*RENELC,bleu,Northeast,West,Office,Education,Yes,No,0.583478,1.496278,197,0.39,0.6970
REGION*activity*RENELC,bleu,Northeast,West,Office,Office,Yes,Yes,-0.412605,1.483688,197,-0.28,0.7812
REGION*activity*RENELC,bleu,Northeast,West,Office,Office,Yes,No,-4.468132,1.809609,197,-2.47,0.0144
REGION*activity*RENELC,bleu,Northeast,West,Office,Service,Yes,Yes,2.688381,2.799445,197,0.96,0.3381
REGION*activity*RENELC,bleu,Northeast,West,Office,Service,Yes,No,0.128578,1.931793,197,0.07,0.9470
